Titulo;Subtitulo;Autores;Editorial;Fecha_Publicacion;ISBN_13;ISBN_10;Paginas;Categorias;Tipo;Lenguaje;Imagen;Rating;Opiniones;Precio_Lista;Moneda_Lista;Precio_Venta;Moneda_Venta
Linear Programming and Economic Analysis;;Robert Dorfman|Paul Anthony Samuelson|Robert M. Solow;Courier Corporation;1987-01-01;9780486654911;0486654915;525;Mathematics;BOOK;en;http://books.google.com/books/content?id=k5_vzaCNQP4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;;;;
Parametric Programming for Computer Numerical Control Machine Tools and Touch Probes;CNC's Best-kept Secret;Mike Lynch;Society of Manufacturing Engineers;1997;9780872634817;0872634817;433;Technology & Engineering;BOOK;en;http://books.google.com/books/content?id=jetkY1J7Xn8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;;;;
C++ Programming: From Problem Analysis to Program Design;;D. Malik;Cengage Learning;2008-02-11;9781423902096;1423902092;1384;Computers;BOOK;en;http://books.google.com/books/content?id=20xVrpISzoYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;5;1;;;;
The Scheme Programming Language;;R. Kent Dybvig;MIT Press;2003;9780262541480;0262541483;295;Computers;BOOK;en;http://books.google.com/books/content?id=wftS4tj4XFMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;4;4;;;;
Genetic Programming;11th European Conference, EuroGP 2008, Naples, Italy, March 26-28, 2008, Proceedings;Michael O'Neill|Leonardo Vanneschi|Steven Gustafson|Anna Isabel Esparcia Alcázar|Ivanoe De Falco|Antonio Della Cioppa|Ernesto Tarantino;Springer Science & Business Media;2008-03-14;9783540786702;3540786708;373;Computers;BOOK;en;http://books.google.com/books/content?id=OAHUcHbXoNkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;;;;
Programming with ANSI and Turbo C;;Ashok Kamthane;Pearson Education India;2006-01-01;9788131704370;8131704378;616;;BOOK;en;http://books.google.com/books/content?id=6EwdWpF59ncC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;3;8;;;;
Logic Programming '89;Proceedings of the 8th Conference, Tokyo, Japan, July 12-14, 1989;Koichi Furukawa|Hozumi Tanaka;Springer Science & Business Media;1991-04-24;9783540539193;3540539190;183;Computers;BOOK;en;http://books.google.com/books/content?id=tYLtL4Hho50C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;;;;
Programming In Basic;;Balagurusamy;Tata McGraw-Hill Education;1991;9780074600559;0074600559;317;BASIC (Computer program language);BOOK;en;http://books.google.com/books/content?id=kNZHC-ODtCcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;4.5;2;;;;
Interactive Multiple Goal Programming;Applications to Financial Planning;J. Spronk;Springer Science & Business Media;1981-04-30;9780898380644;0898380642;259;Business & Economics;BOOK;en;http://books.google.com/books/content?id=U1mOhomWyvEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;;;;
Multi-Objective Programming and Goal Programming;Theory and Applications;Tetsuzo Tanino|Tamaki Tanaka|Masahiro Inuiguchi;Springer Science & Business Media;2003-04-14;9783540006534;3540006532;427;Business & Economics;BOOK;en;http://books.google.com/books/content?id=oXYVBZQDye4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;;;;
