Titulo;Subtitulo;Autores;Editorial;Fecha_Publicacion;ISBN_13;ISBN_10;Paginas;Categorias;Tipo;Lenguaje;Imagen;Rating;Opiniones;Precio_Lista;Moneda_Lista;Precio_Venta;Moneda_Venta
Computer Programming in Basic the Easy Way;An Introduction to Computer Programming;Douglas Downing;Barron's Educational Series;1989;9780812042535;0812042530;329;Computers;BOOK;en;http://books.google.com/books/content?id=WGgL994UxLQC&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
MATLAB Programming for Engineers;;Stephen J. Chapman;CL Engineering;2000;9780534951511;0534951511;444;Engineering;BOOK;en;http://books.google.com/books/content?id=TSpiQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;5;1;;;;
Beginning RSS and Atom Programming;;Danny Ayers|Andrew Watt;Wrox;2005-05-06;9780764579165;0764579169;775;Computers;BOOK;en;http://books.google.com/books/content?id=uYNQAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Community Tennis Programming;;Eve F. Kraft;;1972;;;40;Tennis;BOOK;en;http://books.google.com/books/content?id=aPoTAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
A BASIC Programmer's Guide to Pascal;;Mark J. Borgerson;John Wiley & Sons Inc;1982;;;118;Computers;BOOK;en;http://books.google.com/books/content?id=XOAmAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Genetic Programming Theory and Practice IV;;Rick Riolo|Terence Soule|Bill Worzel;Springer;2007-04-05;9780387333755;0387333754;338;Computers;BOOK;en;http://books.google.com/books/content?id=0s14tgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
A book on C;programming in C;Al Kelley|Ira Pohl;Benjamin-Cummings Publishing Company;1990;9780805300604;0805300600;519;Computers;BOOK;en;http://books.google.com/books/content?id=LZbx-i1S2CoC&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Multi-goal decision model solutions by goal programming;;Victor Andrew Fatseas;University of New South Wales Press;1973;;;84;Business & Economics;BOOK;en;http://books.google.com/books/content?id=f97SAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Future Radio Programming Strategies;Cultivating Listenership in the Digital Age;David T. MacFarland;Routledge;1997;9780805821062;0805821066;273;Performing Arts;BOOK;en;http://books.google.com/books/content?id=RJBRWJQO80gC&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Hello World!;Computer Programming for Kids and Other Beginners;Warren Sande|Carter Sande;Manning Publications Company;2013-11-28;9781617290923;1617290920;464;Juvenile Nonfiction;BOOK;en;http://books.google.com/books/content?id=sWNfkQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;3;2;;;;
Programming Microsoft® LINQ;;Paolo Pialorsi|Marco Russo;"O'Reilly Media, Inc.";2009-11-30;9780735636873;0735636877;688;Computers;BOOK;en;http://books.google.com/books/content?id=WOIaeutvnWUC&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
The JR Programming Language;Concurrent Programming in an Extended Java;Ronald A. Olsson|Aaron W. Keen;Springer Science & Business Media;2004-07-06;9781402080852;1402080859;365;Computers;BOOK;en;http://books.google.com/books/content?id=7FqsBkPIUNMC&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Handbook of Semidefinite Programming;Theory, Algorithms, and Applications;Henry Wolkowicz|Romesh Saigal|Lieven Vandenberghe;Springer;2012-10-17;9781461369707;1461369703;654;Business & Economics;BOOK;en;http://books.google.com/books/content?id=RsaAmQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Palm Programming in Basic;;Jon Kilburn;Springer;2002-01-30;9781893115491;1893115496;388;Computers;BOOK;en;http://books.google.com/books/content?id=A7BuQI3l-UQC&printsec=frontcover&img=1&zoom=1&source=gbs_api;5;1;;;;
Los tipos malos en Misión improbable (The Bad Guys in Mission Unpluckable);;Aaron Blabey;Scholastic Inc.;2018-08-28;9781338342710;1338342711;144;Juvenile Fiction;BOOK;es;http://books.google.com/books/content?id=QdFcDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Programming Scala;Scalability = Functional Programming + Objects;Dean Wampler|Alex Payne;O'Reilly Media;2009-09-17;9780596155957;0596155956;448;Computers;BOOK;en;http://books.google.com/books/content?id=7FfowAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;4;3;;;;
COBOL 85 Programming;;Roger Hutty;;1990;;;293;COBOL (Computer program language);BOOK;en;http://books.google.com/books/content?id=AcsmAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
IBM 360: Programming and computing;;James T. Golden|Richard M. Leichus;;1967;;;342;Reference;BOOK;en;http://books.google.com/books/content?id=J6w-AAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Comprehensive programming for success in learning;;Edward Joseph Dillon|Earl J. Heath|Carroll W. Biggs;Merrill Publishing Company;1970;;;148;Education;BOOK;en;http://books.google.com/books/content?id=DsQCAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Programming in ADA;;Jean-Paul Tremblay|John M. DeDourek|Verna J. Friesen;McGraw-Hill College;1990;;;489;Computers;BOOK;en;http://books.google.com/books/content?id=o8FaAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Programming Challenges;The Programming Contest Training Manual;Steven S Skiena|Miguel A. Revilla;Springer;2013-04-10;9781475789706;147578970X;364;Computers;BOOK;en;http://books.google.com/books/content?id=OR4AswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Mathematical Programming Study;;;;1979;;;0;Mathematical optimization;BOOK;en;http://books.google.com/books/content?id=JubxAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Pseudo-Boolean methods for bivalent programming;;P. L. Hammer|Sergiu Rudeanu|Institute of Management Sciences|Econometric Institute (New York, N.Y.);Springer;1966;;;120;Mathematics;BOOK;en;http://books.google.com/books/content?id=IiLvAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Basic Programming;;Paul W. Murrill|Cecil Loyd Smith;;1971;;;154;BASIC (Computer program language);BOOK;en;http://books.google.com/books/content?id=dlEZAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Basic Fortran programming;;John B. Harvill;Prentice Hall;1968;;;268;Business & Economics;BOOK;en;http://books.google.com/books/content?id=-YNQAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Planning - programming - budgeting;guidance for program and financial plan;United States. Dept. of Health, Education, and Welfare. Office of the Assistant Secretary for Planning and Evaluation;;1968;;;207;Medical;BOOK;en;http://books.google.com/books/content?id=fs4aAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Evolution of parallel cellular machines;the cellular programming approach;Moshe Sipper;Springer Verlag;1997;;;198;Computers;BOOK;en;http://books.google.com/books/content?id=zJ1QAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;5;1;;;;
Logic, programming, and Prolog;;Ulf Nilsson|Jan Małuszyński;John Wiley & Sons;1995;;;282;Computers;BOOK;en;http://books.google.com/books/content?id=TbdQAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Access Database Design & Programming;;Steven PhD;O'Reilly Media;2007-09-27;9780596002732;0596002734;400;Computers;BOOK;en;http://books.google.com/books/content?id=05vHQL0plz8C&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Beginning OpenGL Game Programming;;Luke Benstead|Dave Astle|Kevin Hawkins;Nelson Education;2014-05-14;9781598637236;1598637231;319;Computers;BOOK;en;http://books.google.com/books/content?id=i_xvCgAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Integer Programming;;Michele Conforti|Gerard Cornuejols|Giacomo Zambelli;Springer;2016-09-10;9783319384320;3319384325;456;Business & Economics;BOOK;en;http://books.google.com/books/content?id=aQ09vgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Elementary Computer Programming in FORTRAN IV;;Boris W. Boguslavsky;Reston;1974;;;325;FORTRAN (Computer program language);BOOK;en;http://books.google.com/books/content?id=dBUzAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
TORRIX;a programming system for operations on vectors and matrices over arbitrary fields and of variable size;S. G. van der Meulen|M. Veldhorst;;1978;;;231;Mathematics;BOOK;en;http://books.google.com/books/content?id=VwTvAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;4;1;;;;
BASIC Programming Today;A Structured Approach;Steven L. Mandell;West Group;1986;;;485;Computers;BOOK;en;http://books.google.com/books/content?id=6vTXAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Violent Television Programming and Its Impact on Children;;Kevin J. Martin;DIANE Publishing Inc.;2007-08;9781422315163;1422315169;39;Children and violence;BOOK;en;http://books.google.com/books/content?id=62cXiCIc2CMC&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
A theory of primal decomposition for linear programming;;Edwin Van Wyck Zschau;;1967;;;27;;BOOK;en;http://books.google.com/books/content?id=i6BEAAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Inside Microsoft® SQL Server® 2008: T-SQL Programming;T-SQL Programming;Itzik Ben-Gan|Dejan Sarka|Greg Low|Roger Wolter|Ed Katibah|Isaac Kunen;"O'Reilly Media, Inc.";2009-04-28;9780735646476;0735646473;834;Computers;BOOK;en;http://books.google.com/books/content?id=jJLlWpni7EIC&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Pascal Programming for Music Research;;Alexander R. Brinkman;University of Chicago Press;1989-12-15;9780226075082;0226075087;986;Computers;BOOK;en;http://books.google.com/books/content?id=ArisQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Linear programming II;;Paul Williams|Open University. M351 Course Team;;1976;9780335056552;0335056555;58;Mathematics;BOOK;en;http://books.google.com/books/content?id=U8vZAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Advanced automatic programming;an intensive courses for engineers, scientists and mathematicians;University of Michigan. Engineering Summer Conferences;;1961;;;0;Computers;BOOK;en;http://books.google.com/books/content?id=F6o4AAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Linear and combinatorial programming;;Katta G. Murty;;1976;;;567;Mathematics;BOOK;en;http://books.google.com/books/content?id=-GRRAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Automata, languages and programming;fourth colloquium, University of Turku, Finland, July 18-22, 1977;Arto Salomaa|Magnus Steinby;Springer Verlag;1977;9783540083429;3540083421;569;Computers;BOOK;en;http://books.google.com/books/content?id=hg6oAAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Matrices and mathematical programming;mathematical bases for management decision making;Albert George Holzman|H. H. Schaefer|R. Glaser|University of Pittsburgh;;1962;;;0;Mathematics;BOOK;en;http://books.google.com/books/content?id=w1RVAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Multistage stochastic programming with recourse;;Paul Levi Olsen;;1973;;;88;Mathematics;BOOK;en;http://books.google.com/books/content?id=PiJUAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Beginning Object-Oriented Programming with C#;;Jack Purdum;John Wiley & Sons;2012-11-05;9781118387948;1118387945;624;Computers;BOOK;en;http://books.google.com/books/content?id=unXFSsrq5IEC&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Programming languages for parallel processing;;David B. Skillicorn|Domenico Talia;Inst of Electrical &;1995;;;399;Computers;BOOK;en;http://books.google.com/books/content?id=BV0ZAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Programming Windows 95;;Charles Petzold;;1996;9781556156762;1556156766;1100;Computers;BOOK;en;http://books.google.com/books/content?id=fvd_ZX9NEc4C&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Programming in C;;Lawrence H. Miller|Alexander E. Quilici;John Wiley & Sons;1986;;;431;C (Computer program language).;BOOK;en;http://books.google.com/books/content?id=_0AiAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Introduction to Programming and Object-Oriented Design Using Java;;Jaime Niño|Frederick A. Hosch;John Wiley & Sons Incorporated;2008-02-04;;;1009;Computers;BOOK;en;http://books.google.com/books/content?id=ltMgAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;3;1;;;;
386 DX Microprocessor Programmer's Reference Manual;;;;1990;;;465;Intel 80386 (Microprocessor);BOOK;en;http://books.google.com/books/content?id=hbdQAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Linear programming models with LINDO;;Linus E. Schrage;Scientific Press, Incorporated, the;1981;9780894260315;0894260316;242;Computers;BOOK;en;http://books.google.com/books/content?id=4JwSAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Automata, Languages and Programming;Fifth Colloquium, Udine, Italy, July 17 - 21, 1978. Proceedings;G. Ausiello|C. Böhm;Springer;1978-07-01;9783540088608;3540088601;510;Mathematics;BOOK;en;http://books.google.com/books/content?id=2yQ8xwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Primavera silenciosa;;Rachel Carson;Grupo Planeta (GBS);2010-05;9788498920918;8498920914;376;Education;BOOK;es;http://books.google.com/books/content?id=kBEkmrhqXAsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;;;;
Children's Protection from Violent Programming Act;report of the Committee on Commerce, Science, and Transportation on S. 363;United States. Congress. Senate. Committee on Commerce, Science, and Transportation;;1997;;;32;Performing Arts;BOOK;en;;;;;;;
Automata, languages, and programming;ninth colloquium, Aarhus, Denmark, July 12-16, 1982;M. Nielsen;Springer;1982;9783540115762;3540115765;613;Mathematics;BOOK;en;http://books.google.com/books/content?id=HgioAAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
On large-scale linear programming;;Markku Juhani Kallio|Stanford University. Graduate School of Business;;1975;;;222;Linear programming;BOOK;en;http://books.google.com/books/content?id=UNEEAAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
CICS Command Level Programming;;Alida Jatich;John Wiley & Sons Incorporated;1991-05-28;;;602;Computers;BOOK;en;http://books.google.com/books/content?id=y8lQAAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
C Language Programming Using Personal Computers;;;;1987;;;0;C (Computer program language);BOOK;en;http://books.google.com/books/content?id=s6tQAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Programming the IBM Personal Computer;Fortran 77;Robert A. Rouse;Henry Holt & Company;1983-01-01;9780030636684;003063668X;240;Computers;BOOK;en;http://books.google.com/books/content?id=xusPNet_5EsC&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
C# And Game Programming ;;Salvatore A. Buono;;;;;0;;BOOK;en;http://books.google.com/books/content?id=7kntAbpc5VkC&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Beginning Programming with C++ For Dummies;;Stephen R. Davis;John Wiley & Sons;2010-07-08;9780470909485;047090948X;456;Computers;BOOK;en;http://books.google.com/books/content?id=dzO9KHkrce4C&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Advances in Nonlinear Programming;Proceedings of the 96 International Conference on Nonlinear Programming;Ya-xiang Yuan;Springer;1998-05-31;9780792350538;0792350537;353;Mathematics;BOOK;en;http://books.google.com/books/content?id=pTnzGYZ9Y-kC&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Beginning C# 3.0;An Introduction to Object Oriented Programming;Jack Purdum;Wrox;2008-08-11;9780470384275;0470384271;523;Computers;BOOK;en;http://books.google.com/books/content?id=3gcvvDndP80C&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Android Game Programming For Dummies;;Derek James;John Wiley & Sons;2012-11-26;9781118222188;1118222180;384;Computers;BOOK;en;http://books.google.com/books/content?id=h-6twcSjuzYC&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
VIC 20 programmer's reference guide;;A. Finkel;;1982-06;;;289;VIC 20 (Computer);BOOK;en;http://books.google.com/books/content?id=_c1QAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
iOS SDK Programming A Beginners Guide;;James Brannan|Blake Ward;Mcgraw-hill;2011-01-10;9780071759083;0071759085;528;Computers;BOOK;en;http://books.google.com/books/content?id=VduVjgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Parallel logic programming;;Akikazu Takeuchi;John Wiley & Sons Inc;1992;;;233;Computers;BOOK;en;http://books.google.com/books/content?id=B5RQAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
C++ Programming Cookbook;;Schildt;Tata McGraw-Hill Education;;9780070264786;0070264783;0;;BOOK;en;http://books.google.com/books/content?id=9Y3MM6LJYLoC&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Intensive Programming for Slow Learners;;Sheila Doran Benyon;Merrill Publishing Company;1968;;;116;Slow learning children;BOOK;en;http://books.google.com/books/content?id=zoYTAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Practical DCE Programming;;Charles Knouse;Prentice Hall;1996;9780133244199;0133244199;491;Computers;BOOK;en;http://books.google.com/books/content?id=kJBYAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Linear programming and applications;a course text;Will McLewin;;1982;;;216;Mathematics;BOOK;en;http://books.google.com/books/content?id=WDkoAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Juego de tronos;;George R. R. Martin;Grupo Planeta Spain;2015-04-07;9788416308293;8416308292;0;Comics & Graphic Novels;BOOK;es;http://books.google.com/books/content?id=WL4yBwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;239.99;ARS;239.99;ARS
Proceedings;;Princeton symposium on mathematical programming;;1970;;;620;Princeton, NJ;BOOK;en;;;;;;;
Cómo plantear y resolver problemas;;George Polya;Editorial Trillas Sa De Cv;1965;9789682400643;9682400643;215;Mathematics;BOOK;es;http://books.google.com/books/content?id=4TJYAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;4;3;;;;
The Art of Computer Programming;;Knuth, Donald Erwin (f. 1938) Knuth;;1973;;;634;Computer algorithms;BOOK;en;;3;1;;;;
Ni aquí ni allí (AdN);;Tommy Orange;Alianza Editorial;2018-10-11;9788491812593;8491812598;312;Fiction;BOOK;es;http://books.google.com/books/content?id=g8dwDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
The Pragmatic Programmer;;Andrew Hunt|David Hurst Thomas;Addison-Wesley Professional;2019-10-11;9780135957059;0135957052;452;;BOOK;en;;;;;;;
RPG IV programming on the AS/400;;;;;;;0;;;en;;;;;;;
Mathematical programming;theory and algorithms;Michel Minoux;John Wiley & Sons;1986;9780471901709;0471901709;489;Mathematics;BOOK;en;http://books.google.com/books/content?id=5kDvAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Dr. Dobb's Journal of Software Tools for the Professional Programmer;;;;1988;;;0;Microcomputers;BOOK;en;http://books.google.com/books/content?id=kRgTAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
CICS application and system programming;tools and techniques;Barry K. Nirmal;QED Information Sciences;1992;9780894353932;0894353934;543;CICS (Computer system);BOOK;en;http://books.google.com/books/content?id=YL1QAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Borland C++ 4.0 Programming for Windows;;Paul Yao;Random House Electronic Pub;1994;;;788;Computers;BOOK;en;http://books.google.com/books/content?id=m6lQAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Excel 97 Programming for Windows For Dummies;;John Walkenbach;For Dummies;1997-07-03;9780764501326;0764501321;405;Computers;BOOK;en;http://books.google.com/books/content?id=Erz02V3aGjEC&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Natural Language Understanding and Logic Programming;;Veronica Dahl|Patrick Saint-Dizier;North Holland;1987;9780444704085;0444704086;345;Logic programming;BOOK;en;http://books.google.com/books/content?id=ka4WAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Unifying Theories of Programming;;Charles Antony Richard Hoare|He Jifeng;;1998-01-01;9780134587615;0134587618;298;Computers;BOOK;en;http://books.google.com/books/content?id=WpdQAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Abstraction for Programmers;;J. A. Zimmer;Computing McGraw-Hill;1985;;;251;Computers;BOOK;en;http://books.google.com/books/content?id=VNgmAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
LabVIEW Graphical Programming;;Gary W. Johnson|Richard Jennings;McGraw Hill Professional;2006-08-07;9780071501538;0071501533;752;Technology & Engineering;BOOK;en;http://books.google.com/books/content?id=luCJAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;3394.2;ARS;2375.94;ARS
Structured Programming in Assembly Language for the IBM PC;;William C. Runnion;PWS Publishing Company;1988;;;575;Assembler language (Computer program language);BOOK;en;http://books.google.com/books/content?id=H3spAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Graphical programming;a tutorial for HP VEE;Robert Helsel;Prentice Hall;1995-05;9780133628234;013362823X;456;Visual programming languages (Computer science);BOOK;en;;;;;;;
Programming in Martin-Löf's type theory;an introduction;Bengt Nordström|Kent Petersson|Jan M. Smith;Oxford University Press, USA;1990;;;221;Computers;BOOK;en;http://books.google.com/books/content?id=mZhQAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Windows 98 Programming from the Ground Up;;Herbert Schildt;McGraw-Hill Osborne Media;1998;9780078823060;0078823064;809;Computers;BOOK;en;http://books.google.com/books/content?id=CbKLOrBOZYsC&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Excel 2000 Programming For Dummies;;John Walkenbach|Allen L. Wyatt, Sr.;For Dummies;1999-08-05;9780764505669;0764505661;408;Computers;BOOK;en;http://books.google.com/books/content?id=r3qc9RTsk8sC&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Programming Fundamentals Using Turbo Pascal;Versions 4.0, 5.0, 5.5, and 6.0;Thomas M. Boger;William C Brown Pub;1991-01-01;9780697114150;0697114155;747;Computers;BOOK;en;http://books.google.com/books/content?id=P-XXAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Complementary Definitions of Programming Language Semantics;;James Edward Donahue|University of Toronto. Computer Systems Research Group;Computer Systems Research Group, University of Toronto;1976;9780387076287;038707628X;172;Pascal (Computer program language);BOOK;en;http://books.google.com/books/content?id=5usmAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Introduction to BASIC programming;workbook and study guide;Gary B. Shelly|Thomas J. Cashman;;1983;9780882361192;0882361198;459;Computers;BOOK;en;http://books.google.com/books/content?id=GzG3vd6oACQC&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
The Java Application Programming Interface: Window toolkit and applets;;James Gosling|Frank Yellin;;1996;;;0;Java (Computer program language);BOOK;en;http://books.google.com/books/content?id=LIgqAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
BASIC programming for chemists;an introduction;Peter C. Jurs|Thomas L. Isenhour|Charles Lee Wilkins;Wiley-Interscience;1987;;;313;Computers;BOOK;en;http://books.google.com/books/content?id=-dzvAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Exhibit programming for environmental interpretation;with a case study of the Taipei Zoological Park;Rachel Lee;;1984;;;536;Art;BOOK;en;http://books.google.com/books/content?id=399bAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Programming Perl;;Randal L. Schwartz|Tom Christiansen;Oreilly & Associates Incorporated;1996;9781565921498;1565921496;646;Computers;BOOK;en;http://books.google.com/books/content?id=IJxQAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;4.5;12;;;;
Perl CGI Programming;;Erik Strom;Sybex;1997;;;429;Computers;BOOK;en;http://books.google.com/books/content?id=pZtQAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Autobiografía y cartas escogidas;;Charles Darwin;;1977;9788420619804;8420619809;0;;BOOK;en;;;;;;;
DOS job control for assembler language programmers;;Gary B. Shelly|Thomas J. Cashman;Anaheim Pub Co;1972;;;0;Computers;BOOK;en;;;;;;;
COBOL programming;an introduction for librarians;Peter Brophy;C. Bingley ; Hamden, Conn. : Linnet Books;1976;;;153;Computers;BOOK;en;;;;;;;
Fundamentos de sistemas operativos;;Abraham Silberschatz|Peter Baer Galvin|Greg Gagne;;2006;9788448146412;8448146417;848;Computers;BOOK;es;http://books.google.com/books/content?id=9sdXAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;5;1;;;;
Alguien voló sobre el nido del cuco;;Ken Kesey;;1984;9788432082009;8432082007;349;;BOOK;es;;;;;;;
Ojos de fuego;;Stephen King|Eduardo Goligorsky;DEBOLSILLO;2003-01;9788497593779;8497593774;592;Fiction;BOOK;es;http://books.google.com/books/content?id=fdx9bwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;5;2;;;;
Mathematical Programming and the Analysis of Capital Budgeting Problems;;H. Martin Weingartner;;1967;;;265;Capital budget;BOOK;en;http://books.google.com/books/content?id=eO2VxfUmbjMC&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Las Torturas Mentales de la CIA;;Gordon Thomas;;2001;9788466603331;8466603336;363;Political Science;BOOK;en;http://books.google.com/books/content?id=8qCsqEU-yMQC&printsec=frontcover&img=1&zoom=1&source=gbs_api;3;3;;;;
HTML5 Canvas;;Steve Fulton|Jeff Fulton;;2011-09;9788441530195;844153019X;704;Business & Economics;BOOK;es;http://books.google.com/books/content?id=HHKNtgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;;;;;
Fantasy Fiction;An Introduction;Lucie Armitt;A&C Black;2005-04-13;9780826416858;0826416853;229;Literary Criticism;BOOK;en;http://books.google.com/books/content?id=mZny5uwvSd8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;;;;
Modern Fantasy;;Colin N. Manlove;CUP Archive;1978-09-21;9780521293860;0521293863;316;Literary Criticism;BOOK;en;http://books.google.com/books/content?id=Cgw4AAAAIAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;;;;
Fantasy Baseball and Mathematics;A Resource Guide for Teachers and Parents, Grades 5 and Up;Dan Flockhart;John Wiley & Sons;2007-03-23;9780787994433;078799443X;202;Education;BOOK;en;http://books.google.com/books/content?id=68G7sqs7a8wC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;;;;
